date,account_id,account_name,campaign_id,campaign_name,campaign_type,ad_group_id,ad_group_name,keyword,match_type,device,country,impressions,clicks,ctr,avg_cpc,cost,conversions,conversion_value,gclid,utm_source,utm_medium,utm_campaign,utm_content,utm_term,quality_score
2026-06-11,161733,ABC Marketing,4750,Spring Offers,Search,5257,Performance,python course,Broad,Tablet,United States,19377,1373,7.09,3.32,4558.36,1,175.31,GCLID_3428F8510B114052,google,cpc,spring_offers,ad_8,insurance,5
2026-02-18,198907,ABC Marketing,2588,Fashion Week,Performance Max,7902,Shopping,health insurance,Phrase,Tablet,India,18811,1380,7.34,1.49,2056.2,121,42714.7,GCLID_C7FA363F7D354E3C,google,cpc,fashion_week,ad_2,buy laptop,9
2026-05-18,570405,ABC Marketing,3296,Performance Max,Performance Max,6503,Remarketing,cloud engineer,Broad,Desktop,Australia,11218,1100,9.81,0.78,858.0,24,9926.64,GCLID_BCDAED27BE664868,google,cpc,performance_max,ad_9,cheap mobile,3
2026-04-15,609231,ABC Marketing,8886,Brand Search,Display,8285,Search,credit card,Phrase,Desktop,Australia,17813,1816,10.2,5.34,9697.44,60,10160.48,GCLID_CCB1344EFB224059,google,cpc,brand_search,ad_8,holiday packages,9
2026-02-25,161324,ABC Marketing,9883,Mobile App Install,Search,7569,Search,buy laptop,Exact,Mobile,United Kingdom,18311,1516,8.28,2.78,4214.48,48,22258.76,GCLID_07444970C91441C7,google,cpc,mobile_app_install,ad_9,credit card,3
2026-04-14,225710,ABC Marketing,5033,Display Campaign,Search,5671,Shopping,airflow course,Exact,Tablet,United Kingdom,16740,314,1.88,1.18,370.52,4,769.47,GCLID_FA984BE4DB074323,google,cpc,display_campaign,ad_5,insurance,8
2026-03-22,888387,ABC Marketing,2188,Electronics Festival,Search,8754,Video,gcp training,Broad,Desktop,United Kingdom,7921,310,3.92,0.89,275.9,19,2772.47,GCLID_50E544572D764C34,google,cpc,electronics_festival,ad_5,credit card,8
2026-05-20,837715,ABC Marketing,5956,Electronics Festival,Search,9543,Remarketing,mobile phones,Exact,Desktop,United States,2354,251,10.67,2.16,542.16,5,845.05,GCLID_5F859D09C40B4483,google,cpc,electronics_festival,ad_2,digital marketing,5
2026-06-25,765046,ABC Marketing,5325,Performance Max,Performance Max,7057,Performance,buy laptop,Broad,Tablet,Australia,9024,369,4.1,1.32,487.08,21,8887.34,GCLID_42F18EEFF51D4453,google,cpc,performance_max,ad_1,buy laptop,8
2026-06-30,548462,ABC Marketing,1158,Real Estate Leads,Search,5616,Brand,mobile phones,Broad,Tablet,India,4386,351,8.01,1.59,558.09,28,11915.9,GCLID_AF723EA9B2A64B02,google,cpc,real_estate_leads,ad_10,bigquery tutorial,5
2026-02-23,815198,ABC Marketing,5088,Laptop Promotion,Search,7897,Performance,bigquery tutorial,Phrase,Tablet,Singapore,14183,340,2.4,1.83,622.2,2,239.1,GCLID_1330D403AFAB4F5B,google,cpc,laptop_promotion,ad_4,gaming laptop,5
2026-06-21,870763,ABC Marketing,5065,Fashion Week,Shopping,6304,Performance,digital marketing,Broad,Mobile,Germany,5901,631,10.7,0.33,208.23,42,2831.9,GCLID_87AF8D9355DC4B86,google,cpc,fashion_week,ad_8,insurance,6
2026-01-07,792094,ABC Marketing,4164,Display Campaign,Performance Max,7689,Remarketing,gaming laptop,Broad,Mobile,Canada,15183,736,4.85,4.55,3348.8,29,9821.34,GCLID_74D962E2BD3A4DF2,google,cpc,display_campaign,ad_7,airflow course,8
2026-03-09,140115,ABC Marketing,2776,Insurance Campaign,Performance Max,7831,Brand,crm software,Phrase,Mobile,United Kingdom,1004,22,2.27,5.34,117.48,0,0.0,GCLID_1FEEA9275FD440FC,google,cpc,insurance_campaign,ad_2,health insurance,6
2026-06-25,854377,ABC Marketing,4228,Real Estate Leads,Shopping,8533,Search,airflow course,Phrase,Tablet,Canada,8446,125,1.49,2.51,313.75,8,2788.19,GCLID_1077984AF4184784,google,cpc,real_estate_leads,ad_2,digital marketing,7
2026-05-22,233470,ABC Marketing,4143,Mobile App Install,Performance Max,8105,Brand,digital marketing,Broad,Tablet,United Kingdom,16717,735,4.4,2.36,1734.6,51,9456.8,GCLID_F2A3C905C64C4833,google,cpc,mobile_app_install,ad_9,gaming laptop,3
2026-06-17,437902,ABC Marketing,8618,Loan Promotion,Performance Max,8622,Brand,insurance,Exact,Mobile,Germany,10057,418,4.16,2.48,1036.64,37,16854.66,GCLID_BD27F58709764646,google,cpc,loan_promotion,ad_3,airflow course,4
2026-03-02,805477,ABC Marketing,6085,Spring Offers,Display,6631,Display,buy laptop,Broad,Desktop,Australia,9399,626,6.67,3.55,2222.3,21,6826.54,GCLID_3E0CBEC59FA1414E,google,cpc,spring_offers,ad_2,cloud engineer,9
2026-03-04,254739,ABC Marketing,1090,Phone Launch,Search,8482,Display,credit card,Exact,Tablet,Australia,18963,595,3.14,3.89,2314.55,31,2250.55,GCLID_F688F437D4B84496,google,cpc,phone_launch,ad_4,mobile phones,4
2026-06-02,432711,ABC Marketing,8251,Real Estate Leads,Performance Max,9488,Shopping,mobile phones,Broad,Tablet,Germany,15057,371,2.47,2.66,986.86,33,8698.92,GCLID_8907BCF98EDD4C3A,google,cpc,real_estate_leads,ad_5,crm software,6
2026-03-12,561239,ABC Marketing,2269,Display Campaign,Shopping,6920,Remarketing,python course,Phrase,Tablet,India,9186,865,9.42,2.96,2560.4,80,8981.47,GCLID_74D1537D55F04867,google,cpc,display_campaign,ad_4,health insurance,5
2026-04-17,165290,ABC Marketing,4388,Electronics Festival,Performance Max,8190,Performance,gcp training,Exact,Desktop,Germany,7110,121,1.71,2.36,285.56,8,3570.36,GCLID_F1CEEE2EAF944C5B,google,cpc,electronics_festival,ad_10,health insurance,10
2026-05-18,883826,ABC Marketing,9947,Fashion Week,Display,8999,Display,holiday packages,Phrase,Mobile,India,293,33,11.37,1.78,58.74,3,674.96,GCLID_5B9C111F2CA5471C,google,cpc,fashion_week,ad_7,digital marketing,5
2026-04-11,720644,ABC Marketing,1444,Summer Sale,Search,8511,Display,gaming laptop,Phrase,Desktop,India,15415,1712,11.11,5.4,9244.8,136,22721.57,GCLID_B83A822FC9D84F39,google,cpc,summer_sale,ad_6,insurance,10
2026-03-06,975467,ABC Marketing,2341,Fashion Week,Performance Max,5158,Brand,bigquery tutorial,Broad,Mobile,United States,10810,509,4.71,4.86,2473.74,17,5823.6,GCLID_84BBDDB7116445A3,google,cpc,fashion_week,ad_1,crm software,3
2026-02-02,596564,ABC Marketing,2874,Display Campaign,Display,8809,Brand,holiday packages,Phrase,Desktop,United Kingdom,8202,261,3.19,0.31,80.91,4,1293.05,GCLID_F5A7128962F04F99,google,cpc,display_campaign,ad_2,crm software,5
2026-06-23,493537,ABC Marketing,7498,Insurance Campaign,Display,5622,Video,digital marketing,Exact,Desktop,India,10292,225,2.19,0.34,76.5,9,3273.63,GCLID_504AB4D291E1453E,google,cpc,insurance_campaign,ad_5,gaming laptop,4
2026-01-18,630538,ABC Marketing,6590,Laptop Promotion,Search,8441,Performance,cloud engineer,Broad,Mobile,Canada,18644,1791,9.61,2.04,3653.64,109,36625.45,GCLID_1FF0662A97E94615,google,cpc,laptop_promotion,ad_8,digital marketing,5
2026-06-07,947458,ABC Marketing,9817,Remarketing,Performance Max,8808,Shopping,gaming laptop,Exact,Tablet,Canada,14370,422,2.94,2.97,1253.34,41,7996.52,GCLID_AB6664C82DA64FF9,google,cpc,remarketing,ad_4,gaming laptop,4
2026-06-06,800646,ABC Marketing,7209,Insurance Campaign,Shopping,5235,Shopping,gaming laptop,Phrase,Desktop,Australia,9239,988,10.7,1.49,1472.12,59,8581.78,GCLID_7956B47B531A472F,google,cpc,insurance_campaign,ad_5,python course,7
2026-02-18,189771,ABC Marketing,4954,Healthcare Campaign,Performance Max,9002,Video,crm software,Broad,Tablet,Australia,19634,1710,8.71,1.66,2838.6,2,681.31,GCLID_E598F342AFF44EB4,google,cpc,healthcare_campaign,ad_8,cloud engineer,3
2026-06-19,709805,ABC Marketing,7046,Mobile App Install,Performance Max,9534,Video,python course,Phrase,Tablet,United Kingdom,3149,133,4.24,2.34,311.22,3,596.57,GCLID_09F88E92880447B2,google,cpc,mobile_app_install,ad_8,holiday packages,7
2026-05-18,899213,ABC Marketing,4033,Black Friday,Display,6772,Brand,cloud engineer,Phrase,Tablet,United Kingdom,8337,295,3.54,4.02,1185.9,10,4894.73,GCLID_06540A69A8D443BD,google,cpc,black_friday,ad_9,gcp training,7
2026-03-19,114835,ABC Marketing,9751,Brand Search,Display,7247,Search,buy laptop,Exact,Mobile,Singapore,3394,344,10.16,1.77,608.88,23,10921.33,GCLID_2FF8342D89BC4BD5,google,cpc,brand_search,ad_8,cheap mobile,3
2026-01-14,364742,ABC Marketing,8827,Brand Search,Search,5535,Shopping,cloud engineer,Broad,Tablet,Singapore,18910,780,4.13,2.74,2137.2,43,15432.83,GCLID_D49255FF63A24B55,google,cpc,brand_search,ad_3,credit card,7
2026-06-02,929151,ABC Marketing,4697,Loan Promotion,Performance Max,8690,Shopping,holiday packages,Exact,Mobile,Canada,2891,344,11.93,0.83,285.52,26,7952.96,GCLID_91D242512E1D4BA7,google,cpc,loan_promotion,ad_1,gcp training,4
2026-03-03,282256,ABC Marketing,2229,Brand Search,Display,5021,Shopping,cloud engineer,Exact,Tablet,Australia,6908,544,7.88,1.6,870.4,5,905.33,GCLID_C02A12F8EA2E43C7,google,cpc,brand_search,ad_4,holiday packages,7
2026-06-19,942956,ABC Marketing,4241,Insurance Campaign,Performance Max,5940,Video,insurance,Exact,Desktop,Canada,14977,266,1.78,1.44,383.04,8,3375.87,GCLID_3E8B304F26E04D63,google,cpc,insurance_campaign,ad_2,buy laptop,5
2026-02-01,591465,ABC Marketing,5982,Electronics Festival,Performance Max,7230,Video,bigquery tutorial,Phrase,Mobile,India,10179,768,7.55,4.57,3509.76,36,11488.19,GCLID_228FD1BB3FDF4CF7,google,cpc,electronics_festival,ad_7,digital marketing,8
2026-01-06,901909,ABC Marketing,5415,Insurance Campaign,Search,6435,Shopping,bigquery tutorial,Exact,Mobile,Canada,19882,745,3.75,0.68,506.6,73,9611.92,GCLID_7DD937BB81AE405D,google,cpc,insurance_campaign,ad_10,health insurance,10
2026-02-11,445824,ABC Marketing,7744,Black Friday,Performance Max,7361,Brand,health insurance,Exact,Desktop,Australia,3089,190,6.17,2.36,448.4,10,896.27,GCLID_D3F928E132224CD1,google,cpc,black_friday,ad_5,python course,4
2026-04-29,533321,ABC Marketing,1888,Real Estate Leads,Display,9247,Remarketing,gcp training,Phrase,Tablet,Australia,13344,1402,10.51,4.57,6407.14,0,0.0,GCLID_CBE46383955E4DD7,google,cpc,real_estate_leads,ad_4,holiday packages,5
2026-06-11,738448,ABC Marketing,4920,Summer Sale,Display,7545,Video,buy laptop,Exact,Mobile,India,9538,555,5.82,3.9,2164.5,7,1057.81,GCLID_0E5208B33F4640F7,google,cpc,summer_sale,ad_2,cloud engineer,4
2026-04-17,975271,ABC Marketing,8905,Remarketing,Performance Max,6996,Shopping,bigquery tutorial,Broad,Mobile,United States,5145,333,6.48,4.0,1332.0,32,14874.9,GCLID_5E86C624833947F8,google,cpc,remarketing,ad_9,digital marketing,5
2026-05-10,380150,ABC Marketing,1042,Travel Deals,Shopping,7445,Performance,gcp training,Exact,Tablet,Australia,2387,96,4.04,4.39,421.44,6,2636.2,GCLID_4E9E1269427B4F75,google,cpc,travel_deals,ad_8,bigquery tutorial,10
2026-03-24,297816,ABC Marketing,4912,Electronics Festival,Performance Max,6913,Performance,crm software,Phrase,Desktop,Canada,11409,531,4.66,4.24,2251.44,24,9242.82,GCLID_80B0F15DEE204B10,google,cpc,electronics_festival,ad_7,health insurance,5
2026-01-26,986088,ABC Marketing,8213,Travel Deals,Search,9308,Shopping,buy laptop,Exact,Desktop,Australia,16330,1895,11.61,0.87,1648.65,151,66729.9,GCLID_FB3D98FF64A641E4,google,cpc,travel_deals,ad_3,cheap mobile,10
2026-03-26,993744,ABC Marketing,9742,Spring Offers,Performance Max,7594,Brand,digital marketing,Phrase,Tablet,India,8784,414,4.72,3.87,1602.18,41,13442.13,GCLID_11F607720C7E4226,google,cpc,spring_offers,ad_4,airflow course,7
2026-04-24,274446,ABC Marketing,5906,Black Friday,Search,5376,Remarketing,crm software,Broad,Mobile,Canada,7554,695,9.21,2.5,1737.5,12,2624.14,GCLID_6EDCA33667E14F41,google,cpc,black_friday,ad_3,insurance,9
2026-06-06,501126,ABC Marketing,4945,Spring Offers,Performance Max,9777,Display,insurance,Phrase,Tablet,Canada,18644,1584,8.5,1.15,1821.6,44,11299.5,GCLID_9E20C6074AD243B0,google,cpc,spring_offers,ad_1,mobile phones,10
2026-05-31,413685,ABC Marketing,7951,Laptop Promotion,Shopping,8742,Performance,holiday packages,Broad,Mobile,Germany,9525,804,8.45,1.04,836.16,56,14976.84,GCLID_D6E54C9097254B49,google,cpc,laptop_promotion,ad_4,health insurance,8
2026-03-12,108491,ABC Marketing,1803,Phone Launch,Performance Max,7344,Performance,crm software,Broad,Tablet,Germany,18935,804,4.25,3.91,3143.64,2,417.09,GCLID_B82B81284F4D47ED,google,cpc,phone_launch,ad_4,gcp training,7
2026-04-23,134985,ABC Marketing,6977,Mobile App Install,Display,5738,Remarketing,python course,Exact,Mobile,United States,4581,362,7.91,4.99,1806.38,2,280.72,GCLID_19553D35C8264D30,google,cpc,mobile_app_install,ad_9,mobile phones,8
2026-05-04,945664,ABC Marketing,5835,Remarketing,Shopping,5943,Shopping,cheap mobile,Broad,Desktop,Germany,17494,1140,6.52,1.64,1869.6,21,7441.26,GCLID_F10C3E0F23D6405A,google,cpc,remarketing,ad_7,gaming laptop,8
2026-04-27,486490,ABC Marketing,5295,Black Friday,Performance Max,8043,Search,airflow course,Broad,Mobile,India,3059,296,9.7,0.27,79.92,17,5589.53,GCLID_05F701EA5E574697,google,cpc,black_friday,ad_9,python course,6
2026-01-30,246566,ABC Marketing,1742,Fashion Week,Search,7493,Shopping,cheap mobile,Broad,Desktop,United Kingdom,2171,173,7.99,2.66,460.18,9,999.44,GCLID_6A5D75277639427C,google,cpc,fashion_week,ad_8,python course,9
2026-05-06,745558,ABC Marketing,7686,Black Friday,Shopping,5268,Brand,python course,Broad,Mobile,Australia,19345,1772,9.16,1.02,1807.44,106,50641.48,GCLID_955256AB3DB241BD,google,cpc,black_friday,ad_6,cheap mobile,8
2026-03-12,299028,ABC Marketing,3001,Phone Launch,Performance Max,5750,Brand,insurance,Exact,Tablet,United Kingdom,17941,1959,10.92,3.62,7091.58,15,7304.88,GCLID_2DF46F7611594683,google,cpc,phone_launch,ad_1,crm software,8
2026-05-22,317220,ABC Marketing,4538,Spring Offers,Display,7691,Performance,credit card,Exact,Desktop,Canada,8081,960,11.88,4.37,4195.2,26,11343.35,GCLID_7526AB9D619D491E,google,cpc,spring_offers,ad_3,credit card,7
2026-04-02,928358,ABC Marketing,4898,Summer Sale,Shopping,5129,Display,holiday packages,Broad,Desktop,Singapore,5817,128,2.21,4.79,613.12,2,478.86,GCLID_72F2332766794145,google,cpc,summer_sale,ad_2,digital marketing,4
2026-04-26,628313,ABC Marketing,4629,Black Friday,Search,9271,Remarketing,cloud engineer,Exact,Desktop,India,15705,931,5.93,2.12,1973.72,75,37452.3,GCLID_6FC31384F52B4661,google,cpc,black_friday,ad_7,health insurance,4
2026-06-05,255539,ABC Marketing,2076,Travel Deals,Display,7252,Video,airflow course,Exact,Tablet,Singapore,16165,1428,8.84,2.55,3641.4,20,3926.67,GCLID_2D72155D1A9745DC,google,cpc,travel_deals,ad_10,bigquery tutorial,7
2026-06-17,782535,ABC Marketing,4522,Black Friday,Performance Max,8699,Display,health insurance,Phrase,Mobile,Australia,14967,981,6.56,2.48,2432.88,89,21110.39,GCLID_C48221CC80CB4A93,google,cpc,black_friday,ad_2,python course,9
2026-01-18,195656,ABC Marketing,2398,Education Campaign,Search,8537,Search,digital marketing,Exact,Mobile,Germany,10340,860,8.32,2.18,1874.8,19,2062.49,GCLID_6DA98AEA2E1D4AC8,google,cpc,education_campaign,ad_1,gcp training,8
2026-03-15,729575,ABC Marketing,6119,Winter Sale,Shopping,5848,Video,bigquery tutorial,Broad,Desktop,Singapore,4105,226,5.52,4.83,1091.58,13,3470.81,GCLID_9E2CE9764E6E4D82,google,cpc,winter_sale,ad_2,python course,8
2026-06-09,743378,ABC Marketing,1430,Real Estate Leads,Shopping,5237,Display,holiday packages,Exact,Mobile,Canada,3864,362,9.39,3.24,1172.88,27,5614.93,GCLID_B20A0CCE7C3841E6,google,cpc,real_estate_leads,ad_3,gaming laptop,5
2026-05-16,325583,ABC Marketing,7163,Spring Offers,Performance Max,8716,Remarketing,credit card,Phrase,Mobile,Singapore,18657,1535,8.23,0.57,874.95,7,1371.81,GCLID_4D4253BE475A4707,google,cpc,spring_offers,ad_10,gcp training,4
2026-03-11,564637,ABC Marketing,7947,Spring Offers,Performance Max,9973,Shopping,health insurance,Phrase,Desktop,Germany,1823,49,2.71,4.2,205.8,0,0.0,GCLID_428841248A334618,google,cpc,spring_offers,ad_6,health insurance,4
2026-01-12,331230,ABC Marketing,7475,Mobile App Install,Search,5062,Display,holiday packages,Broad,Desktop,Germany,9381,793,8.46,3.34,2648.62,67,11053.91,GCLID_F12F5BFEF6B44DE8,google,cpc,mobile_app_install,ad_6,cheap mobile,3
2026-06-30,341288,ABC Marketing,9196,Real Estate Leads,Shopping,5590,Shopping,gaming laptop,Exact,Desktop,Australia,16398,1511,9.22,1.13,1707.43,97,5668.07,GCLID_E43D8BE87EA94E29,google,cpc,real_estate_leads,ad_2,gaming laptop,8
2026-03-16,220768,ABC Marketing,7636,Fashion Week,Search,7660,Display,crm software,Exact,Mobile,Germany,18966,1084,5.72,2.34,2536.56,81,29186.29,GCLID_C72BC990B7D7463F,google,cpc,fashion_week,ad_6,cheap mobile,9
2026-04-12,425346,ABC Marketing,6562,Spring Offers,Display,7728,Performance,credit card,Broad,Tablet,Singapore,3568,131,3.68,3.32,434.92,8,810.5,GCLID_22A2689983BD4A60,google,cpc,spring_offers,ad_9,insurance,8
2026-03-02,207798,ABC Marketing,3399,Cyber Monday,Shopping,6616,Display,gcp training,Broad,Tablet,India,11604,1044,9.0,4.54,4739.76,104,13490.44,GCLID_FBB89E17E13A4D22,google,cpc,cyber_monday,ad_8,cloud engineer,10
2026-02-08,561124,ABC Marketing,2118,Travel Deals,Performance Max,8622,Brand,holiday packages,Phrase,Tablet,India,18597,1500,8.07,5.43,8145.0,82,17086.67,GCLID_7811E70B72F1491B,google,cpc,travel_deals,ad_2,holiday packages,10
2026-06-15,996840,ABC Marketing,2479,Spring Offers,Performance Max,8790,Video,bigquery tutorial,Exact,Desktop,Australia,14908,210,1.41,2.15,451.5,9,4131.65,GCLID_3356D01159DF4CEA,google,cpc,spring_offers,ad_10,airflow course,6
2026-01-27,950360,ABC Marketing,6626,Electronics Festival,Search,9133,Brand,credit card,Broad,Desktop,Singapore,10635,814,7.66,2.86,2328.04,7,1728.94,GCLID_B99FD5ECFBF14325,google,cpc,electronics_festival,ad_8,bigquery tutorial,5
2026-06-23,726928,ABC Marketing,1857,Travel Deals,Shopping,5539,Remarketing,cheap mobile,Exact,Tablet,Australia,12024,613,5.1,1.7,1042.1,26,4624.52,GCLID_AFCA4ACF9E5D4C59,google,cpc,travel_deals,ad_10,gaming laptop,5
2026-06-17,832409,ABC Marketing,7421,Mobile App Install,Display,9874,Brand,cheap mobile,Phrase,Tablet,Australia,11023,209,1.9,3.72,777.48,11,3735.29,GCLID_A4B2D9B4DC6F413F,google,cpc,mobile_app_install,ad_6,gaming laptop,5
2026-01-05,480211,ABC Marketing,6060,Laptop Promotion,Display,6754,Remarketing,crm software,Phrase,Desktop,United States,17348,352,2.03,3.75,1320.0,32,15999.66,GCLID_5723D7A00CCF45E7,google,cpc,laptop_promotion,ad_3,cheap mobile,7
2026-06-19,453123,ABC Marketing,3147,Winter Sale,Performance Max,6263,Display,credit card,Exact,Tablet,Germany,3414,224,6.58,3.06,685.44,16,7299.12,GCLID_FF08CDC909824FAD,google,cpc,winter_sale,ad_8,buy laptop,9
2026-03-14,888939,ABC Marketing,8355,Loan Promotion,Display,9374,Display,holiday packages,Phrase,Desktop,Canada,12037,1015,8.44,1.46,1481.9,56,19893.33,GCLID_F194FA3FF6CB4B15,google,cpc,loan_promotion,ad_10,cloud engineer,10
2026-02-21,940181,ABC Marketing,3267,Brand Search,Shopping,5427,Brand,cloud engineer,Phrase,Tablet,India,9333,892,9.56,2.87,2560.04,53,19616.91,GCLID_9ADBE728B8FD4739,google,cpc,brand_search,ad_9,gaming laptop,4
2026-02-07,971415,ABC Marketing,8167,Healthcare Campaign,Search,6818,Performance,cloud engineer,Phrase,Desktop,Australia,9440,181,1.92,1.05,190.05,14,1035.52,GCLID_D9ED3EC59148443A,google,cpc,healthcare_campaign,ad_9,python course,6
2026-01-26,979940,ABC Marketing,6493,Travel Deals,Display,6127,Search,holiday packages,Phrase,Tablet,Germany,12753,1522,11.94,2.19,3333.18,7,787.2,GCLID_03244550D8D54995,google,cpc,travel_deals,ad_8,cloud engineer,3
2026-06-05,653408,ABC Marketing,7934,Real Estate Leads,Search,7360,Display,holiday packages,Broad,Desktop,United States,2696,32,1.21,1.34,42.88,1,238.92,GCLID_AAD4797F97484AB9,google,cpc,real_estate_leads,ad_10,cloud engineer,4
2026-06-11,640410,ABC Marketing,4963,Summer Sale,Display,7386,Shopping,buy laptop,Exact,Mobile,United States,3732,380,10.2,2.85,1083.0,34,10431.15,GCLID_4D02D7EFA9354991,google,cpc,summer_sale,ad_3,airflow course,4
2026-05-10,924613,ABC Marketing,9316,Real Estate Leads,Search,8198,Performance,cloud engineer,Broad,Tablet,Australia,17253,2022,11.72,0.56,1132.32,134,65856.68,GCLID_58475330DDD6451E,google,cpc,real_estate_leads,ad_5,digital marketing,3
2026-05-29,870899,ABC Marketing,6447,Black Friday,Display,5363,Remarketing,bigquery tutorial,Phrase,Tablet,United States,11801,1141,9.67,2.03,2316.23,93,39401.56,GCLID_C0358969469945CA,google,cpc,black_friday,ad_8,digital marketing,10
2026-01-10,407696,ABC Marketing,4302,Electronics Festival,Search,6634,Search,python course,Phrase,Tablet,Australia,6072,602,9.93,0.53,319.06,49,24260.16,GCLID_2EE7FB0695F944F6,google,cpc,electronics_festival,ad_9,cloud engineer,7
2026-06-17,448048,ABC Marketing,5476,Winter Sale,Search,8014,Shopping,mobile phones,Phrase,Tablet,Australia,1299,120,9.29,1.21,145.2,5,2262.93,GCLID_FC7CE339D7D9411E,google,cpc,winter_sale,ad_7,python course,5
2026-01-22,862400,ABC Marketing,7955,Remarketing,Search,8527,Video,gaming laptop,Broad,Tablet,Canada,16359,1408,8.61,2.15,3027.2,132,25679.96,GCLID_2E1C2D60BEBC4DAE,google,cpc,remarketing,ad_2,python course,7
2026-03-31,568849,ABC Marketing,1693,Electronics Festival,Shopping,8563,Remarketing,airflow course,Broad,Desktop,Singapore,10143,599,5.91,4.0,2396.0,10,3368.81,GCLID_0999291F38484BA6,google,cpc,electronics_festival,ad_6,bigquery tutorial,5
2026-02-02,170499,ABC Marketing,4866,Winter Sale,Shopping,7966,Shopping,gcp training,Broad,Tablet,United States,1120,28,2.57,3.42,95.76,1,355.58,GCLID_BC613D67E8804F50,google,cpc,winter_sale,ad_6,python course,10
2026-06-16,392227,ABC Marketing,5089,Travel Deals,Search,5212,Brand,credit card,Phrase,Tablet,Australia,2619,191,7.31,3.01,574.91,12,5533.13,GCLID_2BFC3F29284149EA,google,cpc,travel_deals,ad_2,holiday packages,7
2026-02-21,228594,ABC Marketing,3223,Education Campaign,Search,8703,Display,mobile phones,Exact,Mobile,India,14723,494,3.36,3.44,1699.36,44,18248.16,GCLID_93B1309615C344B6,google,cpc,education_campaign,ad_6,airflow course,8
2026-06-29,768676,ABC Marketing,3852,Brand Search,Shopping,9167,Display,cheap mobile,Broad,Desktop,United States,2227,157,7.05,1.74,273.18,9,3651.01,GCLID_351C4B6F4696425F,google,cpc,brand_search,ad_1,python course,8
2026-03-21,517500,ABC Marketing,8842,Spring Offers,Performance Max,8354,Performance,gcp training,Broad,Desktop,Canada,15415,1516,9.84,3.12,4729.92,22,7459.15,GCLID_08A52D8FF3D246DA,google,cpc,spring_offers,ad_8,cloud engineer,8
2026-02-16,905077,ABC Marketing,3114,Insurance Campaign,Performance Max,9119,Performance,buy laptop,Broad,Tablet,United States,4305,458,10.66,4.34,1987.72,40,7474.24,GCLID_B9EB6F7CA9984782,google,cpc,insurance_campaign,ad_3,python course,6
2026-03-06,305837,ABC Marketing,5496,Spring Offers,Display,7480,Video,bigquery tutorial,Broad,Tablet,Singapore,11438,1306,11.42,2.95,3852.7,72,9063.8,GCLID_C76B08AF2900427E,google,cpc,spring_offers,ad_10,credit card,5
