date,account_id,account_name,campaign_id,campaign_name,campaign_type,ad_set_id,ad_set_name,placement,device,country,impressions,clicks,ctr,cpc,spend,conversions,conversion_value,fbclid,utm_source,utm_medium,utm_campaign,age_group,gender
2026-04-17,200001,ABC Meta,3010,Brand Awareness,Meta,4010,AdSet16,Reels,Mobile,Canada,912,64,7.08,0.21,13.44,2,529.82,FBCLID_00000010,meta,paid_social,brand_awareness,18-24,Male
2026-04-02,200001,ABC Meta,3011,Video Views,Meta,4011,AdSet17,Facebook Feed,Mobile,India,7777,729,9.38,3.97,2894.13,30,8747.22,FBCLID_00000011,meta,paid_social,video_views,25-34,Male
2026-05-31,200001,ABC Meta,3012,Retargeting,Meta,4012,AdSet11,Stories,Mobile,India,15153,153,1.01,2.7,413.1,9,1100.93,FBCLID_00000012,meta,paid_social,retargeting,18-24,Male
2026-05-26,200001,ABC Meta,3013,Video Views,Meta,4013,AdSet4,Reels,Mobile,Canada,6145,535,8.71,0.27,144.45,7,2791.65,FBCLID_00000013,meta,paid_social,video_views,18-24,Female
2026-01-02,200001,ABC Meta,3014,Video Views,Meta,4014,AdSet6,Reels,Mobile,USA,16462,174,1.06,4.41,767.34,12,2594.36,FBCLID_00000014,meta,paid_social,video_views,18-24,Female
2026-06-17,200001,ABC Meta,3015,App Install,Meta,4015,AdSet11,Stories,Mobile,India,15874,480,3.03,3.55,1704.0,25,8126.06,FBCLID_00000015,meta,paid_social,app_install,25-34,All
2026-01-19,200001,ABC Meta,3016,Lead Gen,Meta,4016,AdSet17,Reels,Desktop,USA,19541,678,3.47,1.93,1308.54,54,15221.68,FBCLID_00000016,meta,paid_social,lead_gen,45-54,Female
2026-01-01,200001,ABC Meta,3017,Festival Offers,Meta,4017,AdSet11,Reels,Mobile,India,12512,910,7.28,2.5,2275.0,78,15458.85,FBCLID_00000017,meta,paid_social,festival_offers,45-54,All
2026-06-13,200001,ABC Meta,3018,Brand Awareness,Meta,4018,AdSet11,Instagram Feed,Desktop,USA,3170,50,1.6,1.71,85.5,2,397.13,FBCLID_00000018,meta,paid_social,brand_awareness,45-54,All
2026-05-13,200001,ABC Meta,3019,Video Views,Meta,4019,AdSet14,Facebook Feed,Mobile,Canada,19297,1553,8.05,2.63,4084.39,114,27949.86,FBCLID_00000019,meta,paid_social,video_views,18-24,Female
2026-06-14,200001,ABC Meta,3020,App Install,Meta,4020,AdSet14,Reels,Mobile,UK,486,15,3.21,3.47,52.05,1,369.8,FBCLID_00000020,meta,paid_social,app_install,45-54,Male
2026-01-18,200001,ABC Meta,3021,Lead Gen,Meta,4021,AdSet4,Facebook Feed,Desktop,UK,7007,411,5.87,1.48,608.28,0,0.0,FBCLID_00000021,meta,paid_social,lead_gen,45-54,Male
2026-05-01,200001,ABC Meta,3022,Festival Offers,Meta,4022,AdSet17,Reels,Mobile,USA,2379,137,5.76,0.2,27.4,10,3125.83,FBCLID_00000022,meta,paid_social,festival_offers,35-44,Female
2026-02-08,200001,ABC Meta,3023,Lead Gen,Meta,4023,AdSet1,Facebook Feed,Mobile,India,548,38,7.09,3.22,122.36,2,205.73,FBCLID_00000023,meta,paid_social,lead_gen,25-34,Male
2026-01-14,200001,ABC Meta,3024,Retargeting,Meta,4024,AdSet8,Reels,Desktop,India,18780,1477,7.87,1.24,1831.48,88,11579.24,FBCLID_00000024,meta,paid_social,retargeting,25-34,All
2026-04-30,200001,ABC Meta,3025,Festival Offers,Meta,4025,AdSet18,Facebook Feed,Mobile,India,8633,834,9.67,1.25,1042.5,20,5170.63,FBCLID_00000025,meta,paid_social,festival_offers,35-44,All
2026-06-18,200001,ABC Meta,3026,Retargeting,Meta,4026,AdSet10,Stories,Mobile,Canada,15837,465,2.94,1.76,818.4,5,1008.49,FBCLID_00000026,meta,paid_social,retargeting,45-54,All
2026-02-23,200001,ABC Meta,3027,Retargeting,Meta,4027,AdSet10,Stories,Mobile,UK,14341,655,4.57,2.26,1480.3,18,4219.55,FBCLID_00000027,meta,paid_social,retargeting,35-44,All
2026-06-02,200001,ABC Meta,3028,Video Views,Meta,4028,AdSet17,Facebook Feed,Mobile,UK,15034,592,3.94,3.13,1852.96,53,18274.36,FBCLID_00000028,meta,paid_social,video_views,25-34,Male
2026-01-14,200001,ABC Meta,3029,Video Views,Meta,4029,AdSet14,Instagram Feed,Mobile,India,13936,933,6.7,2.2,2052.6,30,6109.79,FBCLID_00000029,meta,paid_social,video_views,25-34,All
2026-05-08,200001,ABC Meta,3030,Lead Gen,Meta,4030,AdSet18,Instagram Feed,Mobile,USA,3065,235,7.69,2.82,662.7,19,4497.85,FBCLID_00000030,meta,paid_social,lead_gen,45-54,All
2026-06-28,200001,ABC Meta,3031,Video Views,Meta,4031,AdSet3,Facebook Feed,Desktop,UK,7626,687,9.02,1.53,1051.11,9,738.44,FBCLID_00000031,meta,paid_social,video_views,18-24,Male
2026-02-09,200001,ABC Meta,3032,Video Views,Meta,4032,AdSet20,Instagram Feed,Desktop,UK,16981,370,2.18,3.48,1287.6,10,2288.28,FBCLID_00000032,meta,paid_social,video_views,25-34,Female
2026-03-19,200001,ABC Meta,3033,Festival Offers,Meta,4033,AdSet18,Instagram Feed,Desktop,USA,12767,1095,8.58,1.59,1741.05,4,732.07,FBCLID_00000033,meta,paid_social,festival_offers,45-54,All
2026-04-06,200001,ABC Meta,3034,App Install,Meta,4034,AdSet3,Reels,Desktop,UK,19805,297,1.5,0.99,294.03,16,5708.9,FBCLID_00000034,meta,paid_social,app_install,35-44,All
2026-06-06,200001,ABC Meta,3035,App Install,Meta,4035,AdSet3,Stories,Mobile,Canada,15356,1371,8.93,2.45,3358.95,35,12650.61,FBCLID_00000035,meta,paid_social,app_install,45-54,Male
2026-06-11,200001,ABC Meta,3036,Festival Offers,Meta,4036,AdSet14,Facebook Feed,Desktop,India,11978,376,3.14,3.21,1206.96,0,0.0,FBCLID_00000036,meta,paid_social,festival_offers,18-24,Male
2026-04-18,200001,ABC Meta,3037,Brand Awareness,Meta,4037,AdSet7,Reels,Desktop,Canada,13644,503,3.69,0.79,397.37,0,0.0,FBCLID_00000037,meta,paid_social,brand_awareness,25-34,Female
2026-05-21,200001,ABC Meta,3038,App Install,Meta,4038,AdSet12,Stories,Desktop,USA,10245,690,6.74,0.94,648.6,42,14025.04,FBCLID_00000038,meta,paid_social,app_install,25-34,Male
2026-03-24,200001,ABC Meta,3039,Lead Gen,Meta,4039,AdSet9,Facebook Feed,Desktop,USA,16878,1534,9.09,2.77,4249.18,81,5097.18,FBCLID_00000039,meta,paid_social,lead_gen,35-44,Male
2026-02-19,200001,ABC Meta,3040,Video Views,Meta,4040,AdSet5,Reels,Mobile,UK,13072,1167,8.93,2.16,2520.72,29,3867.81,FBCLID_00000040,meta,paid_social,video_views,18-24,All
2026-03-24,200001,ABC Meta,3041,Retargeting,Meta,4041,AdSet8,Facebook Feed,Mobile,India,8715,588,6.75,0.25,147.0,1,109.74,FBCLID_00000041,meta,paid_social,retargeting,18-24,Female
2026-06-02,200001,ABC Meta,3042,Video Views,Meta,4042,AdSet3,Stories,Mobile,USA,14802,624,4.22,3.2,1996.8,30,5121.41,FBCLID_00000042,meta,paid_social,video_views,35-44,Male
2026-01-27,200001,ABC Meta,3043,Festival Offers,Meta,4043,AdSet16,Instagram Feed,Desktop,Canada,16731,1627,9.73,4.41,7175.07,148,50041.22,FBCLID_00000043,meta,paid_social,festival_offers,25-34,Female
2026-03-19,200001,ABC Meta,3044,Lead Gen,Meta,4044,AdSet3,Stories,Mobile,USA,3757,240,6.41,2.77,664.8,15,1978.01,FBCLID_00000044,meta,paid_social,lead_gen,18-24,Female
2026-01-18,200001,ABC Meta,3045,Video Views,Meta,4045,AdSet8,Reels,Desktop,USA,12027,478,3.98,3.0,1434.0,28,8323.67,FBCLID_00000045,meta,paid_social,video_views,18-24,All
2026-04-22,200001,ABC Meta,3046,App Install,Meta,4046,AdSet4,Stories,Desktop,India,5143,472,9.19,4.15,1958.8,28,1732.41,FBCLID_00000046,meta,paid_social,app_install,25-34,All
2026-01-18,200001,ABC Meta,3047,Festival Offers,Meta,4047,AdSet15,Instagram Feed,Desktop,USA,1603,94,5.87,3.54,332.76,5,637.92,FBCLID_00000047,meta,paid_social,festival_offers,18-24,Male
2026-03-19,200001,ABC Meta,3048,Retargeting,Meta,4048,AdSet2,Reels,Mobile,UK,18561,1020,5.5,2.03,2070.6,31,8520.61,FBCLID_00000048,meta,paid_social,retargeting,35-44,Male
2026-02-05,200001,ABC Meta,3049,Lead Gen,Meta,4049,AdSet20,Facebook Feed,Mobile,UK,12758,130,1.02,1.64,213.2,4,1526.49,FBCLID_00000049,meta,paid_social,lead_gen,18-24,Female
2026-04-21,200001,ABC Meta,3050,Brand Awareness,Meta,4050,AdSet8,Stories,Mobile,USA,16467,1167,7.09,2.32,2707.44,41,10707.22,FBCLID_00000050,meta,paid_social,brand_awareness,25-34,Male
2026-02-18,200001,ABC Meta,3051,Retargeting,Meta,4051,AdSet3,Instagram Feed,Mobile,UK,10869,98,0.91,1.21,118.58,6,1474.92,FBCLID_00000051,meta,paid_social,retargeting,35-44,Male
2026-03-12,200001,ABC Meta,3052,Retargeting,Meta,4052,AdSet14,Instagram Feed,Mobile,UK,2098,127,6.06,0.56,71.12,4,1399.94,FBCLID_00000052,meta,paid_social,retargeting,25-34,Female
2026-02-17,200001,ABC Meta,3053,Video Views,Meta,4053,AdSet15,Instagram Feed,Mobile,USA,11144,1111,9.97,2.32,2577.52,74,27072.18,FBCLID_00000053,meta,paid_social,video_views,25-34,All
2026-02-10,200001,ABC Meta,3054,Festival Offers,Meta,4054,AdSet19,Instagram Feed,Mobile,Canada,2982,53,1.79,2.37,125.61,4,584.96,FBCLID_00000054,meta,paid_social,festival_offers,35-44,All
2026-01-22,200001,ABC Meta,3055,Lead Gen,Meta,4055,AdSet14,Reels,Mobile,UK,15120,1280,8.47,2.8,3584.0,59,21127.62,FBCLID_00000055,meta,paid_social,lead_gen,45-54,All
2026-01-13,200001,ABC Meta,3056,Brand Awareness,Meta,4056,AdSet15,Instagram Feed,Desktop,Canada,15022,447,2.98,0.98,438.06,24,6736.95,FBCLID_00000056,meta,paid_social,brand_awareness,45-54,All
2026-03-02,200001,ABC Meta,3057,Video Views,Meta,4057,AdSet5,Reels,Desktop,India,13791,910,6.6,4.34,3949.4,77,13766.87,FBCLID_00000057,meta,paid_social,video_views,45-54,Male
2026-06-03,200001,ABC Meta,3058,Brand Awareness,Meta,4058,AdSet5,Reels,Mobile,UK,11552,110,0.96,0.74,81.4,1,228.87,FBCLID_00000058,meta,paid_social,brand_awareness,25-34,Female
2026-01-13,200001,ABC Meta,3059,Video Views,Meta,4059,AdSet5,Reels,Desktop,UK,17186,1505,8.76,1.58,2377.9,16,4434.38,FBCLID_00000059,meta,paid_social,video_views,25-34,Female
2026-03-19,200001,ABC Meta,3060,Retargeting,Meta,4060,AdSet7,Instagram Feed,Mobile,USA,14977,1377,9.2,2.04,2809.08,60,14567.02,FBCLID_00000060,meta,paid_social,retargeting,45-54,Male
2026-02-23,200001,ABC Meta,3061,Video Views,Meta,4061,AdSet6,Instagram Feed,Mobile,UK,2534,236,9.35,0.18,42.48,21,3276.45,FBCLID_00000061,meta,paid_social,video_views,35-44,Male
2026-03-12,200001,ABC Meta,3062,Retargeting,Meta,4062,AdSet13,Instagram Feed,Mobile,Canada,913,8,0.91,1.7,13.6,1,386.84,FBCLID_00000062,meta,paid_social,retargeting,25-34,All
2026-02-20,200001,ABC Meta,3063,Lead Gen,Meta,4063,AdSet9,Stories,Desktop,USA,2436,130,5.34,2.26,293.8,4,1156.25,FBCLID_00000063,meta,paid_social,lead_gen,35-44,All
2026-02-07,200001,ABC Meta,3064,Video Views,Meta,4064,AdSet18,Instagram Feed,Desktop,UK,8731,300,3.44,4.3,1290.0,15,3749.18,FBCLID_00000064,meta,paid_social,video_views,35-44,All
2026-05-28,200001,ABC Meta,3065,Retargeting,Meta,4065,AdSet13,Reels,Desktop,Canada,9545,566,5.94,3.4,1924.4,31,6254.88,FBCLID_00000065,meta,paid_social,retargeting,35-44,Male
2026-01-14,200001,ABC Meta,3066,Brand Awareness,Meta,4066,AdSet14,Instagram Feed,Mobile,UK,7893,742,9.41,0.16,118.72,56,17845.49,FBCLID_00000066,meta,paid_social,brand_awareness,18-24,Female
2026-03-09,200001,ABC Meta,3067,Festival Offers,Meta,4067,AdSet9,Stories,Desktop,UK,18572,512,2.76,0.62,317.44,11,3798.89,FBCLID_00000067,meta,paid_social,festival_offers,45-54,All
2026-04-17,200001,ABC Meta,3068,Festival Offers,Meta,4068,AdSet1,Instagram Feed,Mobile,Canada,12663,883,6.98,4.35,3841.05,51,10162.28,FBCLID_00000068,meta,paid_social,festival_offers,25-34,Female
2026-04-15,200001,ABC Meta,3069,App Install,Meta,4069,AdSet4,Instagram Feed,Desktop,USA,10343,158,1.53,4.08,644.64,1,152.4,FBCLID_00000069,meta,paid_social,app_install,35-44,Female
2026-05-23,200001,ABC Meta,3070,Brand Awareness,Meta,4070,AdSet10,Reels,Mobile,Canada,19731,1550,7.86,1.5,2325.0,76,12320.79,FBCLID_00000070,meta,paid_social,brand_awareness,35-44,All
2026-03-31,200001,ABC Meta,3071,Video Views,Meta,4071,AdSet9,Reels,Mobile,UK,10575,301,2.85,4.21,1267.21,11,2522.14,FBCLID_00000071,meta,paid_social,video_views,35-44,Female
2026-02-10,200001,ABC Meta,3072,Lead Gen,Meta,4072,AdSet20,Reels,Mobile,UK,19641,377,1.92,3.05,1149.85,11,3099.47,FBCLID_00000072,meta,paid_social,lead_gen,45-54,Female
2026-01-02,200001,ABC Meta,3073,Retargeting,Meta,4073,AdSet17,Facebook Feed,Desktop,India,16972,269,1.59,1.8,484.2,10,3460.29,FBCLID_00000073,meta,paid_social,retargeting,45-54,Female
2026-05-22,200001,ABC Meta,3074,Retargeting,Meta,4074,AdSet1,Facebook Feed,Desktop,Canada,19930,1193,5.99,3.68,4390.24,59,22305.91,FBCLID_00000074,meta,paid_social,retargeting,18-24,All
2026-05-12,200001,ABC Meta,3075,Festival Offers,Meta,4075,AdSet5,Instagram Feed,Desktop,India,533,46,8.76,0.82,37.72,3,920.16,FBCLID_00000075,meta,paid_social,festival_offers,25-34,Female
2026-03-17,200001,ABC Meta,3076,App Install,Meta,4076,AdSet15,Reels,Mobile,USA,4403,350,7.95,2.32,812.0,28,6341.14,FBCLID_00000076,meta,paid_social,app_install,18-24,Female
2026-06-07,200001,ABC Meta,3077,App Install,Meta,4077,AdSet8,Stories,Mobile,UK,11158,168,1.51,1.92,322.56,9,2980.57,FBCLID_00000077,meta,paid_social,app_install,25-34,Male
2026-02-05,200001,ABC Meta,3078,Retargeting,Meta,4078,AdSet14,Instagram Feed,Desktop,UK,9028,243,2.7,0.56,136.08,1,268.42,FBCLID_00000078,meta,paid_social,retargeting,45-54,All
2026-06-10,200001,ABC Meta,3079,Video Views,Meta,4079,AdSet17,Reels,Desktop,Canada,6098,595,9.77,4.24,2522.8,19,3681.31,FBCLID_00000079,meta,paid_social,video_views,18-24,Female
2026-04-04,200001,ABC Meta,3080,Video Views,Meta,4080,AdSet20,Stories,Desktop,USA,668,45,6.86,3.87,174.15,2,614.85,FBCLID_00000080,meta,paid_social,video_views,25-34,All
2026-03-07,200001,ABC Meta,3081,App Install,Meta,4081,AdSet2,Reels,Desktop,UK,2806,159,5.7,3.5,556.5,3,584.32,FBCLID_00000081,meta,paid_social,app_install,35-44,Male
2026-02-19,200001,ABC Meta,3082,App Install,Meta,4082,AdSet12,Facebook Feed,Desktop,USA,19120,1781,9.32,3.21,5717.01,136,9201.63,FBCLID_00000082,meta,paid_social,app_install,45-54,All
2026-02-04,200001,ABC Meta,3083,Retargeting,Meta,4083,AdSet13,Facebook Feed,Mobile,UK,4583,322,7.04,0.16,51.52,20,2929.22,FBCLID_00000083,meta,paid_social,retargeting,18-24,Male
2026-06-07,200001,ABC Meta,3084,Retargeting,Meta,4084,AdSet13,Instagram Feed,Desktop,UK,15947,1180,7.4,3.42,4035.6,64,8784.25,FBCLID_00000084,meta,paid_social,retargeting,45-54,All
2026-03-03,200001,ABC Meta,3085,Brand Awareness,Meta,4085,AdSet10,Instagram Feed,Mobile,USA,10208,590,5.78,0.3,177.0,1,163.51,FBCLID_00000085,meta,paid_social,brand_awareness,35-44,All
2026-04-06,200001,ABC Meta,3086,Brand Awareness,Meta,4086,AdSet16,Facebook Feed,Mobile,Canada,869,29,3.34,4.46,129.34,2,190.41,FBCLID_00000086,meta,paid_social,brand_awareness,18-24,Male
2026-01-23,200001,ABC Meta,3087,Retargeting,Meta,4087,AdSet5,Reels,Desktop,India,197,3,1.84,0.6,1.8,0,0.0,FBCLID_00000087,meta,paid_social,retargeting,45-54,Male
2026-06-25,200001,ABC Meta,3088,Lead Gen,Meta,4088,AdSet1,Facebook Feed,Mobile,UK,4569,306,6.71,1.51,462.06,19,3184.57,FBCLID_00000088,meta,paid_social,lead_gen,45-54,Male
2026-01-11,200001,ABC Meta,3089,Video Views,Meta,4089,AdSet5,Stories,Mobile,USA,16151,337,2.09,3.53,1189.61,8,1446.44,FBCLID_00000089,meta,paid_social,video_views,25-34,Female
2026-01-12,200001,ABC Meta,3090,Retargeting,Meta,4090,AdSet6,Stories,Mobile,USA,19122,1017,5.32,1.92,1952.64,0,0.0,FBCLID_00000090,meta,paid_social,retargeting,18-24,Male
2026-02-07,200001,ABC Meta,3091,Retargeting,Meta,4091,AdSet11,Reels,Mobile,India,1726,95,5.54,4.28,406.6,9,2799.66,FBCLID_00000091,meta,paid_social,retargeting,25-34,Female
2026-06-07,200001,ABC Meta,3092,Festival Offers,Meta,4092,AdSet7,Reels,Desktop,Canada,3775,297,7.89,3.33,989.01,16,2952.21,FBCLID_00000092,meta,paid_social,festival_offers,35-44,All
2026-02-09,200001,ABC Meta,3093,App Install,Meta,4093,AdSet13,Facebook Feed,Mobile,Canada,9897,481,4.87,3.03,1457.43,29,8067.87,FBCLID_00000093,meta,paid_social,app_install,18-24,Female
2026-04-22,200001,ABC Meta,3094,Lead Gen,Meta,4094,AdSet14,Instagram Feed,Mobile,USA,8559,374,4.38,1.86,695.64,13,3364.49,FBCLID_00000094,meta,paid_social,lead_gen,45-54,All
2026-04-05,200001,ABC Meta,3095,Retargeting,Meta,4095,AdSet17,Reels,Desktop,India,15160,654,4.32,3.19,2086.26,19,3569.6,FBCLID_00000095,meta,paid_social,retargeting,25-34,Female
2026-05-11,200001,ABC Meta,3096,Festival Offers,Meta,4096,AdSet10,Reels,Mobile,UK,7405,293,3.96,3.56,1043.08,9,545.79,FBCLID_00000096,meta,paid_social,festival_offers,35-44,Female
2026-03-09,200001,ABC Meta,3097,Brand Awareness,Meta,4097,AdSet6,Facebook Feed,Desktop,Canada,3783,174,4.6,2.48,431.52,6,674.17,FBCLID_00000097,meta,paid_social,brand_awareness,25-34,All
2026-03-27,200001,ABC Meta,3098,Retargeting,Meta,4098,AdSet10,Reels,Mobile,USA,1158,101,8.76,0.83,83.83,0,0.0,FBCLID_00000098,meta,paid_social,retargeting,35-44,Male
2026-03-26,200001,ABC Meta,3099,Festival Offers,Meta,4099,AdSet17,Instagram Feed,Mobile,Canada,5779,179,3.1,0.83,148.57,0,0.0,FBCLID_00000099,meta,paid_social,festival_offers,18-24,All
2026-04-22,200001,ABC Meta,3100,Festival Offers,Meta,4100,AdSet4,Instagram Feed,Desktop,Canada,8647,585,6.77,1.82,1064.7,52,10169.64,FBCLID_00000100,meta,paid_social,festival_offers,25-34,Female
2026-02-07,200001,ABC Meta,3101,Festival Offers,Meta,4101,AdSet20,Reels,Mobile,USA,17191,709,4.13,4.0,2836.0,41,12044.16,FBCLID_00000101,meta,paid_social,festival_offers,18-24,Male
2026-05-04,200001,ABC Meta,3102,Festival Offers,Meta,4102,AdSet20,Stories,Desktop,UK,941,17,1.81,3.38,57.46,0,0.0,FBCLID_00000102,meta,paid_social,festival_offers,45-54,Female
2026-05-22,200001,ABC Meta,3103,Festival Offers,Meta,4103,AdSet1,Facebook Feed,Mobile,India,5246,79,1.51,0.53,41.87,7,2469.83,FBCLID_00000103,meta,paid_social,festival_offers,35-44,All
2026-03-21,200001,ABC Meta,3104,Video Views,Meta,4104,AdSet4,Stories,Desktop,India,7048,448,6.36,3.65,1635.2,3,323.26,FBCLID_00000104,meta,paid_social,video_views,18-24,Female
2026-04-30,200001,ABC Meta,3105,Brand Awareness,Meta,4105,AdSet17,Instagram Feed,Desktop,India,18629,467,2.51,4.23,1975.41,39,3321.76,FBCLID_00000105,meta,paid_social,brand_awareness,45-54,Female
2026-05-30,200001,ABC Meta,3106,Brand Awareness,Meta,4106,AdSet18,Reels,Mobile,India,4461,179,4.03,0.21,37.59,3,815.47,FBCLID_00000106,meta,paid_social,brand_awareness,18-24,All
2026-03-04,200001,ABC Meta,3107,Brand Awareness,Meta,4107,AdSet12,Instagram Feed,Desktop,India,9026,235,2.61,2.91,683.85,19,5500.75,FBCLID_00000107,meta,paid_social,brand_awareness,18-24,All
2026-01-22,200001,ABC Meta,3108,Lead Gen,Meta,4108,AdSet15,Reels,Desktop,India,15946,336,2.11,1.33,446.88,12,1395.82,FBCLID_00000108,meta,paid_social,lead_gen,25-34,Male
2026-04-03,200001,ABC Meta,3109,Festival Offers,Meta,4109,AdSet10,Facebook Feed,Desktop,India,3834,158,4.14,4.14,654.12,11,4203.45,FBCLID_00000109,meta,paid_social,festival_offers,35-44,Female
2026-04-06,200001,ABC Meta,3110,Lead Gen,Meta,4110,AdSet8,Facebook Feed,Desktop,UK,16282,718,4.41,1.29,926.22,55,3302.49,FBCLID_00000110,meta,paid_social,lead_gen,25-34,All
2026-03-10,200001,ABC Meta,3111,Festival Offers,Meta,4111,AdSet12,Stories,Desktop,India,6979,345,4.95,2.65,914.25,3,856.21,FBCLID_00000111,meta,paid_social,festival_offers,45-54,Male
2026-03-08,200001,ABC Meta,3112,Retargeting,Meta,4112,AdSet5,Reels,Mobile,India,8259,426,5.17,4.0,1704.0,1,216.66,FBCLID_00000112,meta,paid_social,retargeting,18-24,Male
2026-06-11,200001,ABC Meta,3113,Brand Awareness,Meta,4113,AdSet15,Stories,Mobile,Canada,16266,823,5.06,2.26,1859.98,22,5014.86,FBCLID_00000113,meta,paid_social,brand_awareness,25-34,Female
2026-02-13,200001,ABC Meta,3114,Brand Awareness,Meta,4114,AdSet7,Reels,Desktop,USA,11249,98,0.88,3.88,380.24,3,606.66,FBCLID_00000114,meta,paid_social,brand_awareness,25-34,Female
2026-02-07,200001,ABC Meta,3115,Lead Gen,Meta,4115,AdSet7,Reels,Mobile,India,7547,489,6.48,2.28,1114.92,35,3558.67,FBCLID_00000115,meta,paid_social,lead_gen,35-44,Female
2026-03-01,200001,ABC Meta,3116,Festival Offers,Meta,4116,AdSet4,Reels,Mobile,India,18759,752,4.01,0.83,624.16,75,13123.54,FBCLID_00000116,meta,paid_social,festival_offers,18-24,All
2026-05-04,200001,ABC Meta,3117,App Install,Meta,4117,AdSet5,Instagram Feed,Mobile,India,11082,131,1.19,2.26,296.06,12,3678.77,FBCLID_00000117,meta,paid_social,app_install,18-24,All
2026-03-27,200001,ABC Meta,3118,App Install,Meta,4118,AdSet2,Facebook Feed,Mobile,USA,16642,813,4.89,4.01,3260.13,76,17828.87,FBCLID_00000118,meta,paid_social,app_install,18-24,Male
2026-05-25,200001,ABC Meta,3119,Brand Awareness,Meta,4119,AdSet13,Facebook Feed,Mobile,USA,7350,145,1.98,0.29,42.05,6,1335.73,FBCLID_00000119,meta,paid_social,brand_awareness,45-54,Male
2026-05-09,200001,ABC Meta,3120,Lead Gen,Meta,4120,AdSet2,Stories,Mobile,UK,5624,253,4.5,3.73,943.69,14,4804.92,FBCLID_00000120,meta,paid_social,lead_gen,45-54,All
2026-02-10,200001,ABC Meta,3121,Brand Awareness,Meta,4121,AdSet7,Facebook Feed,Mobile,Canada,12475,795,6.38,2.93,2329.35,14,3547.53,FBCLID_00000121,meta,paid_social,brand_awareness,18-24,Female
2026-01-21,200001,ABC Meta,3122,App Install,Meta,4122,AdSet20,Reels,Mobile,USA,8884,772,8.69,0.16,123.52,63,10434.1,FBCLID_00000122,meta,paid_social,app_install,25-34,Male
2026-05-28,200001,ABC Meta,3123,Retargeting,Meta,4123,AdSet19,Stories,Mobile,UK,5901,310,5.27,1.07,331.7,3,489.17,FBCLID_00000123,meta,paid_social,retargeting,18-24,Male
2026-01-27,200001,ABC Meta,3124,Brand Awareness,Meta,4124,AdSet3,Stories,Desktop,India,9841,915,9.3,1.36,1244.4,0,0.0,FBCLID_00000124,meta,paid_social,brand_awareness,18-24,Male
2026-04-01,200001,ABC Meta,3125,Lead Gen,Meta,4125,AdSet10,Instagram Feed,Mobile,Canada,2507,33,1.33,1.51,49.83,2,359.15,FBCLID_00000125,meta,paid_social,lead_gen,25-34,Female
2026-06-12,200001,ABC Meta,3126,Lead Gen,Meta,4126,AdSet18,Instagram Feed,Desktop,UK,11497,486,4.23,1.3,631.8,6,685.41,FBCLID_00000126,meta,paid_social,lead_gen,18-24,Female
2026-06-07,200001,ABC Meta,3127,App Install,Meta,4127,AdSet10,Stories,Desktop,UK,17011,658,3.87,2.85,1875.3,14,1946.14,FBCLID_00000127,meta,paid_social,app_install,45-54,Male
